지역구분,대상 가구수(호),가구당 평균 전력사용량(kWh),가구당 평균 전기요금(원)
강원도," 565,082 ", 273 ," 27,177 "
경기도," 2,827,233 ", 444 ," 45,111 "
경상남도," 1,144,913 ", 289 ," 29,043 "
경상북도," 1,131,034 ", 230 ," 22,436 "
광주광역시," 380,425 ", 391 ," 38,020 "
대구광역시," 668,623 ", 364 ," 35,245 "
대전광역시," 425,659 ", 344 ," 32,331 "
부산광역시," 947,300 ", 366 ," 36,274 "
서울특별시," 2,737,725 ", 361 ," 36,569 "
세종특별자치시," 49,394 ", 580 ," 57,091 "
울산광역시," 323,151 ", 353 ," 35,470 "
인천광역시," 734,723 ", 398 ," 40,049 "
전라남도," 726,699 ", 249 ," 25,120 "
전라북도," 634,696 ", 285 ," 28,556 "
제주특별자치도," 258,605 ", 221 ," 22,180 "
충청남도," 742,285 ", 282 ," 27,901 "
충청북도," 584,500 ", 268 ," 26,899 "
,,,
,,,
,,,
,,,
,,,
,,,
